monthly_salary,monthly_expenses,current_savings,annual_return_pct,goal_type,goal_cost,months_to_reach
288766.07,227006.02,6758452.58,8.57,car,1133092.99,0
164630.66,133508.26,3604434.73,7.92,property,6970043.59,52
81607.16,35643.1,1506448.78,0.72,house,5678497.12,87
312079.56,192788.69,4692075.12,1.65,car,2412954.53,0
21342.5,17271.15,6253.06,6.97,house,8837265.65,450
22185.21,19514.59,126657.14,8.24,house,7625469.53,401
187912.64,133555.14,29643.7,12.35,house,9866841.52,103
231868.49,195964.0,272225.47,2.08,property,3117648.75,74
75242.28,27798.96,1043928.31,8.45,house,13925193.43,140
38631.92,23185.88,165265.85,9.41,property,5456934.58,160
285941.79,198263.33,3857998.9,13.53,property,4842247.19,8
373962.33,151782.25,2686196.69,5.16,house,12573574.02,39
308207.96,263821.63,480256.05,6.59,car,1828162.76,27
124279.05,82798.63,1564860.73,9.74,property,936384.4,0
237119.49,222325.6,3010165.27,1.23,property,5664907.09,139
374878.84,353048.54,2583850.61,8.52,house,5005410.53,51
238554.22,172700.49,5307957.59,8.6,house,8516028.3,28
260105.89,167899.05,1123078.34,8.53,property,2678660.48,15
93551.07,39377.92,1043773.12,11.15,property,6860523.41,67
323834.45,307445.91,3217938.87,4.67,property,6545326.38,96
100688.41,73942.65,1667441.38,3.56,car,977099.61,0
212542.06,115698.18,31275.63,9.6,house,6846665.9,56
236190.19,218728.1,4716488.07,2.72,house,13950776.83,246
202061.14,128248.26,172438.58,1.9,car,1679841.07,21
358982.16,241300.82,2887161.34,10.98,house,14025164.69,59
41288.47,27359.55,559814.79,9.49,property,4519141.07,127
99139.74,75474.68,1902377.38,12.43,house,2393876.06,11
76735.86,65566.46,624603.69,5.25,property,6818043.31,248
236973.02,138330.58,3385065.99,12.1,house,11021093.48,46
139509.77,51475.89,1385732.37,6.96,car,1117483.87,0
335193.84,178181.41,4224250.2,2.45,house,12096743.77,46
315560.35,283377.08,3360900.18,0.35,house,13716903.31,299
78549.56,43521.92,911436.15,12.23,house,11969698.32,125
74452.12,65002.61,1469038.9,13.13,property,7945402.58,123
97971.1,36438.54,911338.67,12.11,car,309041.71,0
374288.19,285294.21,5338435.76,1.22,house,13504009.33,83
59179.08,47917.78,1058909.74,0.31,house,10124486.5,715
99741.36,46911.68,685982.89,7.45,house,10560174.57,118
123608.6,54943.73,339558.93,13.42,property,4355454.96,44
98499.4,55178.47,752893.78,1.98,property,6530021.29,118
238151.52,107826.67,1779720.93,12.49,property,3827357.29,13
69428.12,43909.21,1125561.93,1.48,car,489463.08,0
168928.37,130548.95,3613482.8,8.81,property,5745241.25,30
254199.83,136623.36,4987046.66,9.98,property,6569748.67,10
49847.33,45045.56,914513.03,7.95,car,2088272.24,82
369481.84,233130.31,4039921.82,9.58,property,6248701.21,13
198807.43,182598.46,685750.53,12.54,house,13823631.74,186
168989.23,130082.63,2697800.64,11.04,house,7619321.41,59
31500.37,20009.05,265692.38,6.46,car,920966.21,45
152473.87,105939.9,1858777.21,5.68,property,6475683.3,71
143830.5,106387.23,2735417.66,7.46,house,9472235.42,93
110658.61,54910.42,422327.14,6.75,car,1049571.15,11
329287.97,232010.41,6198363.73,6.09,house,8851112.88,20
109738.64,82037.03,205152.62,13.03,property,6775611.45,113
63442.69,44894.92,495428.65,1.37,house,3878349.03,162
383235.71,150138.18,1000195.85,11.4,house,5920011.28,19
265095.86,102562.76,1384511.55,1.94,property,7274420.04,35
261730.47,91634.61,921659.91,2.09,property,2686274.4,11
253917.42,156996.09,1253306.02,12.28,house,9198731.51,55
367017.62,195521.33,8309278.62,6.09,house,14868904.96,29
241436.25,173084.31,2957635.88,11.87,house,2342542.54,0
362408.76,337308.23,7334.99,7.84,house,2980927.28,88
127239.51,46914.59,1318350.49,8.26,property,2885954.82,17
165460.05,95791.28,2164689.21,9.27,house,3377429.69,14
231060.2,197786.75,1997956.6,5.84,house,14965656.58,187
274625.11,118244.36,472878.05,0.22,property,7136665.12,43
270012.14,252457.31,879866.41,1.92,house,13112062.29,444
359561.34,275867.8,8028092.94,8.73,house,8377101.34,3
229779.01,142469.3,1959411.46,2.6,property,555724.94,0
209299.65,165042.82,3577165.36,3.77,property,4822642.65,22
32715.51,12193.69,379448.76,5.16,property,4111496.82,127
282388.96,122910.5,4956218.93,13.77,house,7776640.42,13
49729.15,43958.05,105560.68,6.61,property,5478027.04,316
274112.51,208447.33,3547216.87,8.11,property,895807.04,0
150547.54,123014.85,1694089.16,7.18,house,9248531.57,133
145975.32,82001.45,3425493.6,4.12,car,377717.73,0
370688.52,296422.99,6467521.58,7.89,car,1684460.12,0
239693.61,166279.29,3775576.44,4.08,property,5182377.54,16
128989.95,51532.27,1565203.59,11.92,house,4902688.16,31
254003.15,130844.71,1566421.49,10.38,property,1809603.86,2
244872.65,107910.81,2624955.45,11.31,house,12064124.02,47
109754.43,50320.82,1389198.38,0.46,car,2428160.39,18
246306.75,207645.03,4951440.97,10.54,house,11899965.15,64
110420.03,67810.15,1689624.28,2.95,property,6813747.76,98
40643.8,20672.95,799412.48,0.74,house,6883054.84,274
134519.51,107304.91,2429189.42,7.46,house,10727384.44,129
168226.78,85387.73,2141629.79,6.09,house,14017504.1,99
190551.84,144266.04,4398375.69,9.56,car,514201.51,0
221891.47,124768.88,4495907.97,8.55,property,6937667.55,18
147287.61,75153.9,347398.89,9.16,house,7724966.01,74
276610.63,136943.89,4460444.94,10.79,property,3030549.52,0
282305.76,129281.92,3710260.35,9.42,car,326315.1,0
57125.53,23555.39,611392.42,3.07,house,4900597.45,107
32935.87,23767.79,44962.93,8.32,car,2391075.71,145
262471.5,203374.74,755773.72,11.99,car,1127108.57,6
310265.95,229206.96,5980935.18,2.59,car,1830437.99,0
116267.58,73268.73,2612342.96,8.94,house,11886348.25,101
283044.17,212438.1,5231468.72,3.6,car,910032.46,0
43707.2,25488.04,1044733.55,3.62,house,3902048.07,113
46371.42,43480.31,223327.5,5.5,property,4190429.71,379
74671.59,60575.41,391374.4,9.01,house,11157904.29,234
59249.1,23329.44,812439.68,3.51,house,1753324.71,24
209126.52,155113.16,4354.73,0.53,house,5096892.5,93
286020.98,255351.1,3944619.97,7.22,house,7954882.25,62
173486.85,136475.24,3382059.38,0.98,car,307276.19,0
382579.03,321667.09,4426283.38,7.94,house,6001436.12,17
135074.67,51749.38,3232117.89,9.06,house,8717455.0,44
385151.7,153395.93,4248741.07,10.73,property,2023403.54,0
230700.68,214668.78,3658363.27,4.18,house,13602219.42,228
259634.48,146838.01,528797.45,8.86,property,1920983.72,12
33565.35,12258.7,802655.1,3.34,house,2350400.52,61
225409.78,120512.75,2888527.38,11.68,house,14548750.89,64
26238.95,14525.12,212673.15,10.09,house,3095525.97,123
326699.41,245151.92,3593983.85,9.49,property,1617152.22,0
240151.37,217310.45,212549.34,1.98,property,642972.55,19
364727.97,262977.35,2124314.77,9.08,car,678947.82,0
38984.04,20833.16,742596.45,6.39,car,2137774.75,55
44303.89,37236.64,121406.51,8.33,property,2154293.93,149
325692.34,197280.61,6343348.43,13.75,property,3515064.58,0
65904.93,50117.6,863435.94,4.5,car,1981301.34,54
245372.4,135274.35,711062.64,1.98,house,3768686.52,27
160572.39,72097.59,938942.34,8.15,car,519929.27,0
341999.35,245372.53,6383034.59,0.22,house,2589755.2,0
22745.12,20599.85,385797.92,8.31,house,7119000.27,344
326816.49,265877.51,5430578.79,2.89,property,2532123.11,0
191159.27,94347.09,800799.53,9.68,property,1850003.5,10
209957.3,193198.27,3160403.21,10.96,house,7153609.25,65
231929.95,107880.3,5491749.83,13.68,property,3214259.78,0
309228.73,208368.74,1627355.53,10.78,property,2060815.27,4
40166.23,16773.72,143844.02,11.81,house,8216450.31,147
80708.65,72928.64,104651.89,5.1,car,1256277.61,111
147031.96,122491.18,2676245.21,0.61,property,893424.35,0
224197.04,99728.98,156392.1,7.21,car,2269174.18,17
294133.17,207547.42,2301102.49,2.78,property,7237795.68,51
107424.03,44696.96,587262.41,3.32,house,13243465.09,158
162702.31,78487.21,1839148.85,6.78,house,3456707.17,17
372597.1,232125.96,3463635.59,1.91,property,1956161.92,0
156264.27,79978.67,1259707.55,0.45,property,947387.9,0
71870.57,61879.9,790999.89,2.4,house,4468023.12,247
132161.37,58689.28,2520260.53,13.34,car,1571867.18,0
230047.14,112221.91,2273028.51,7.3,car,1601477.92,0
338055.83,174944.75,5922882.19,10.31,car,845229.18,0
185014.51,89444.15,4118332.85,13.25,property,7236888.46,20
178753.3,67306.79,4252641.94,10.27,property,752154.16,0
221826.26,141427.9,4248509.7,11.5,house,8186348.09,29
51574.78,41355.09,857989.57,5.69,car,591966.4,0
132400.36,97788.81,288302.86,6.72,house,3684338.25,76
194527.48,134657.46,2724910.31,13.67,house,11919772.61,68
352195.63,208928.16,6676434.97,5.19,house,11002677.85,24
20518.19,14904.06,189528.59,9.67,property,745356.32,61
181842.86,93080.56,4128976.96,7.59,car,2032922.06,0
50764.44,44596.98,896411.55,0.77,property,3229928.92,313
39593.78,22955.4,442201.9,0.57,house,3866109.94,195
232340.37,90660.04,3955383.73,2.87,house,4721541.52,6
63151.92,40233.84,1423415.84,8.12,property,2073454.82,19
303106.35,147086.1,2565819.53,3.74,property,3671968.44,7
40694.8,23346.13,441858.25,7.02,car,1334360.47,40
222123.7,187745.04,4794946.32,6.33,house,12298702.21,97
379238.82,316769.67,8563599.92,0.92,house,2678668.13,0
168459.35,77034.29,3874254.46,1.08,car,907074.02,0
284891.2,184551.73,5982668.34,7.29,property,670177.01,0
178283.93,135396.31,3986663.19,6.63,house,7492110.7,48
264980.09,139090.72,400328.79,12.21,car,2136884.54,13
217455.78,119932.61,3020223.92,9.18,house,8063003.29,37
273025.03,182407.95,3593896.5,6.41,property,1489656.89,0
319952.34,144951.94,1996559.86,6.78,house,11891621.45,47
37981.2,21340.59,415599.24,2.33,car,1865986.78,78
128393.7,119909.91,2586357.61,9.7,property,6458429.6,91
81276.79,34148.48,1938496.4,8.04,house,5015497.16,45
90108.7,61949.04,75018.93,4.44,house,3497246.9,100
190403.06,178080.06,2438574.01,1.7,car,1190037.13,0
209778.43,91721.49,2306089.57,4.48,car,2434330.36,2
227535.32,148909.45,3534500.69,4.14,house,14589675.02,102
306581.43,290160.76,4906929.45,11.19,property,7301605.91,34
188000.1,143535.86,3301163.84,12.6,car,1791618.34,0
64412.92,23502.81,954633.43,3.09,house,2748495.27,40
40912.78,30062.2,572875.28,3.11,house,4142161.59,217
51764.03,44500.03,841140.7,13.41,property,3458177.1,92
206376.84,146920.32,2533758.64,0.78,property,3207986.52,11
76219.46,65722.7,676151.89,5.22,house,6156422.88,236
137072.43,84621.07,1845651.81,3.02,house,11510623.63,142
177931.71,109517.44,699443.92,10.19,house,11336174.46,95
177393.64,151016.43,2545679.79,2.01,house,7907277.26,154
349659.81,329373.6,554832.76,13.44,house,2694051.76,58
175595.04,157797.84,1746878.54,7.78,property,4759372.43,80
367651.4,172632.38,7343766.67,4.05,house,2070144.34,0
333974.36,284129.06,2435990.62,7.83,house,4531022.99,30
320663.43,141866.11,2310080.43,8.97,property,4044058.77,9
268448.93,237741.57,2687646.93,6.89,property,5335893.84,50
30808.18,24918.61,364559.55,13.59,property,6091741.8,179
240804.99,165997.66,5018448.78,8.79,house,14652493.1,68
330946.7,189937.37,5821674.99,0.25,house,3698437.64,0
42233.95,22882.72,890275.37,1.9,car,416354.32,0
157242.11,115061.64,3604579.23,0.68,house,8649766.45,111
375800.47,247396.92,6912706.23,2.57,car,1617277.47,0
83511.65,45393.94,633774.12,11.83,house,5164696.14,72
285227.65,161870.57,3658354.93,4.92,car,328374.86,0
216904.88,124461.87,2524247.2,4.76,car,525319.29,0
78730.87,38000.88,356021.21,12.56,property,5672396.22,78
381948.18,327574.74,6531745.91,9.83,car,1218161.77,0
368091.84,154576.26,1159331.67,0.24,house,5706241.79,22
157776.05,132567.11,3369060.46,8.37,house,3824796.65,10
135780.02,108172.7,386474.11,1.8,property,1567695.02,41
106098.28,45113.68,331582.39,1.1,property,6222677.66,93
62454.43,22563.78,725852.77,6.04,car,537198.24,0
321360.97,211483.64,457092.82,1.66,house,2084300.2,15
134625.41,47948.65,311804.07,1.73,property,2040508.9,20
362446.45,167040.37,3057891.1,1.27,property,7563837.35,23
380540.81,212608.88,1466366.85,7.01,property,5097173.22,20
211865.51,82839.88,4167410.65,10.69,property,2127485.57,0
92788.06,48167.59,2007919.37,7.52,property,1240142.89,0
101325.85,66116.85,1721135.65,5.13,property,1888443.34,4
275939.77,114347.98,5528125.3,13.74,house,4392699.01,0
106470.6,44473.55,2515975.47,1.73,car,1443400.68,0
208410.09,118116.47,1441887.33,10.11,car,1021853.9,0
63974.59,33277.46,921832.15,4.37,house,4549291.3,91
174767.24,164452.03,1795048.33,11.99,house,14177607.02,170
159627.73,57094.29,2582746.96,9.41,house,7413787.73,35
270248.34,108370.54,929876.29,5.61,property,7831781.41,39
301744.22,267181.41,1221870.09,5.09,car,1044989.62,0
246085.12,232401.99,725038.61,11.73,property,4243325.84,101
310630.46,251481.24,4425738.39,10.59,property,7574187.94,29
155316.98,116488.7,3541744.52,13.83,property,2591679.75,0
311839.83,129358.02,1876202.01,6.96,property,7568022.53,28
31294.94,24806.84,623629.83,6.97,car,2438559.61,124
165400.53,125294.64,606305.37,8.71,car,1972377.18,28
271210.63,179533.12,3203675.65,6.52,house,10438258.65,57
206295.14,104591.46,1701269.7,12.04,property,632527.94,0
310306.66,293061.97,6554612.67,1.67,house,5746549.17,0
163007.89,102009.32,128553.75,7.79,house,13443453.09,136
82374.81,50117.55,617731.37,5.45,car,1551481.49,26
206410.41,140827.7,2672068.89,6.58,property,6907636.02,47
212540.32,124300.14,2523403.45,13.59,property,5573658.38,24
311258.89,162060.84,458850.18,8.27,car,2141255.13,11
152573.18,121331.42,98500.67,12.48,house,6637740.6,110
182696.31,172678.58,1806192.46,0.79,car,844750.65,0
266271.47,187859.58,5817855.01,0.92,house,3045362.5,0
84516.11,56883.58,75816.27,9.21,house,9168666.97,163
362535.74,184882.83,6055435.73,8.23,house,6599457.51,3
168314.3,116729.87,3265270.1,1.4,property,2044312.37,0
208757.93,174704.15,3343738.68,2.33,house,6405013.12,71
185676.63,120350.21,3775923.34,11.02,property,2105600.79,0
120758.94,63808.08,1662185.99,11.26,property,6071660.19,49
54943.98,47060.18,124921.0,4.72,car,1546142.25,131
221804.19,134471.79,1848870.05,1.07,house,8312633.72,71
133965.43,100216.06,1007483.14,5.8,house,9937012.33,156
192226.87,155331.87,833192.07,0.26,property,4371680.86,95
90884.8,59031.69,1441373.73,11.53,house,5117135.37,60
262412.02,219208.52,5370679.56,12.7,property,5949613.01,6
42755.03,20111.49,474567.18,3.37,property,5639799.78,169
134104.76,81969.29,1025589.77,11.62,car,1694640.47,11
341467.45,174203.33,2352393.3,2.25,property,5009242.02,16
174229.06,72851.29,802496.3,3.44,house,7766155.96,62
232733.5,142358.37,3613450.46,0.52,car,899966.32,0
31073.91,25598.75,207155.08,7.71,property,6893907.63,311
386239.02,247774.33,184548.79,12.03,car,990590.5,6
133232.09,51713.9,3053962.33,12.55,property,5430729.52,20
54316.39,49748.24,944107.24,1.97,car,1556141.43,93
210094.44,88740.86,3349159.86,8.13,property,2388560.44,0
356134.65,175519.58,1045128.41,11.29,house,12736511.23,49
300149.81,250176.36,5359179.55,13.1,car,617411.4,0
86558.62,80668.66,912969.22,3.56,property,919440.52,1
222718.59,171442.23,603806.2,7.64,house,10716969.04,122
386059.83,338829.32,8681456.71,5.08,property,3258044.67,0
137105.13,101079.19,2978678.41,0.49,property,5466675.76,66
377522.35,288581.66,7146975.58,3.36,property,3385176.59,0
262800.64,202453.75,5696406.37,9.59,property,7002147.01,12
345905.91,201691.72,7552834.3,5.5,house,5561990.05,0
375802.51,302145.51,2682534.58,12.03,car,2314959.76,0
259914.03,228121.43,4782881.16,5.69,car,902880.36,0
50435.93,41240.15,595174.5,10.32,house,11184711.24,234
353169.27,297419.66,6987673.17,9.78,property,997754.25,0
179930.8,141702.52,2365274.16,4.57,property,705131.7,0
39797.55,29249.43,601888.33,11.07,car,306766.77,0
96028.62,51214.8,1327060.26,1.55,car,1436004.96,3
388472.54,329569.55,7115226.15,11.86,property,3577371.54,0
376978.92,234063.93,7903039.04,1.87,car,1812427.12,0
334172.07,277268.32,1593308.8,5.8,car,1165687.2,0
163381.61,139006.29,2236591.89,0.29,car,2330847.17,4
265900.54,193037.52,5787132.45,13.64,car,875922.96,0
343695.73,130559.62,5097728.49,8.41,car,495934.79,0
159809.66,146760.58,450089.91,10.06,house,11940350.83,229
372748.25,315477.15,4420636.49,3.14,car,719197.16,0
347535.96,284726.88,2401851.34,6.92,car,1248878.9,0
98510.26,47219.9,1948349.1,10.17,car,1220328.18,0
175239.16,76678.65,1220476.09,3.67,property,3882325.19,26
114360.82,80023.05,1776441.44,1.2,house,3298266.64,42
142833.47,109383.89,2354532.49,9.99,property,3674682.13,23
246934.46,97251.03,3301019.67,0.73,car,1336051.33,0
154634.64,110382.02,2489462.61,11.23,property,6111813.8,44
37294.51,18729.08,554636.1,4.24,house,10562037.29,285
70250.54,62195.3,69337.26,2.51,car,1408242.79,141
373524.24,327482.91,1182603.44,4.44,property,3746972.44,47
118954.28,63992.86,2793569.8,6.99,house,11595615.46,94
371970.08,193333.42,7828658.26,8.58,house,8479131.26,3
185594.64,83330.19,3282215.55,6.88,car,1522484.36,0
370684.07,271337.52,3914331.18,2.64,car,805693.2,0
33627.65,17020.11,569757.0,6.11,house,2050688.07,65
155477.64,120560.08,1810504.26,6.9,property,7001594.75,89
66988.61,27207.2,1395785.01,2.53,car,1949860.63,13
332577.27,228796.01,5293068.41,2.97,car,1457233.89,0
236899.37,142104.42,436854.54,10.76,property,1207289.18,8
144889.95,75425.18,3412452.19,1.71,house,9469569.72,78
381463.54,325078.01,1407833.64,1.13,property,5446544.92,68
192541.1,177738.71,2745809.74,0.08,car,1743580.07,0
381340.47,207811.21,6695227.09,10.28,property,1469901.49,0
348045.96,289203.49,2363544.0,11.17,property,1030430.67,0
381722.07,220953.93,3654074.2,2.49,house,2704042.15,0
343891.42,153982.34,6433459.09,3.99,property,1656009.96,0
133447.73,110849.73,2356866.13,12.9,property,5026352.05,44
156436.82,63774.11,1379610.65,2.8,house,13453076.02,111
201047.08,138287.07,2041370.53,10.59,house,9787215.08,70
184960.25,112013.83,179506.54,4.78,house,10631940.43,113
266092.03,207067.84,5943437.73,7.38,property,4435083.38,0
130467.15,79899.82,2840659.29,6.69,car,2465209.71,0
280039.3,148489.49,1671186.06,5.99,property,857962.06,0
49082.36,18506.84,126788.18,5.95,car,1322244.28,36
293717.8,246045.89,2505701.63,8.2,property,622015.2,0
301396.14,189194.61,5686817.86,11.8,car,483239.24,0
353167.03,186680.03,4977183.45,6.37,property,3874609.29,0
326976.95,181407.01,7204834.41,11.34,car,707192.26,0
303871.14,216487.44,6356613.27,1.49,property,634364.14,0
170074.86,60883.87,2676846.21,6.44,house,13228537.03,71
387005.45,275212.14,4520742.15,8.66,property,3205465.87,0
276045.19,210947.12,2616890.14,4.24,car,597250.68,0
92504.79,77665.26,1545272.06,2.64,car,760304.86,0
266476.82,197151.25,2787060.69,8.76,property,1931858.4,0
134348.79,84378.47,1528316.65,0.31,car,2285313.74,16
300736.85,185602.62,3500914.98,0.27,house,9400554.64,51
96508.6,66750.97,1931342.14,0.71,car,525859.75,0
342099.22,208363.32,3412939.79,6.94,property,4968796.63,10
230635.72,120960.3,2698418.62,6.81,property,5934606.39,25
375406.76,335254.71,7817177.87,3.25,car,1462279.38,0
180361.73,97306.97,274917.02,12.5,house,13503398.03,93
64437.48,46628.12,999316.79,6.28,house,1780893.48,32
129444.1,60233.03,1068216.36,3.25,car,1592849.16,8
280290.15,253113.6,5741152.63,10.01,house,3270640.66,0
131489.74,102145.32,3028903.0,11.66,property,5393751.41,35
156897.12,99377.83,3656110.63,2.27,car,921405.87,0
304716.63,228608.74,944108.82,2.79,property,4191393.01,40
321523.33,294461.62,3809859.19,3.29,property,852870.02,0
26889.63,23623.71,230418.63,2.22,property,739775.06,123
44192.92,26885.75,655005.85,1.69,car,1370003.66,39
397591.87,326395.69,7341523.44,10.78,property,2506184.27,0
77447.78,59176.41,957974.74,9.37,property,878165.32,0
379581.74,314822.11,8769678.27,10.58,car,2019635.27,0
251669.22,217702.04,615289.21,7.87,property,1290583.13,17
259371.92,226307.63,5670819.17,2.2,house,11060205.38,112
309546.58,200906.44,6466993.05,2.16,house,6017201.59,0
72353.54,62163.05,762505.2,5.82,car,839695.34,6
327475.18,181680.62,3969177.84,1.19,house,11155196.55,47
177703.27,129308.32,1046819.89,10.54,property,3662916.57,39
106709.16,88681.84,1058749.74,5.73,house,14349847.31,278
216139.01,164118.5,4895498.07,6.2,car,1878776.62,0
216592.51,84849.84,1758576.73,5.62,car,1254959.01,0
169441.18,63075.54,3751504.45,2.11,property,933573.72,0
260010.87,202294.1,4120828.91,7.28,house,7160621.52,34
356597.48,274749.17,7476106.44,10.1,house,13774616.52,38
23002.85,11912.45,291377.12,12.89,property,3529535.55,116
264674.15,233587.61,3966044.86,8.65,house,10915858.04,85
357316.46,292619.98,3468877.13,2.76,house,2637792.46,0
224224.73,130946.37,3868579.03,12.32,property,7939429.77,27
127892.59,51884.97,1693663.67,7.3,property,1700205.05,1
30598.67,25334.45,435115.67,3.38,house,11307874.83,621
395042.79,164442.54,568347.16,5.22,property,4306245.33,16
67048.95,53903.06,1514785.42,6.28,property,6026440.22,144
192195.92,180620.03,3715012.9,13.85,property,5859853.41,33
376264.98,281939.99,7626100.45,3.27,house,5341229.18,0
318219.92,247865.53,5135563.93,10.0,property,6031342.42,8
59986.23,39583.18,277215.94,10.9,house,2822835.73,78
290423.36,246006.76,571184.89,0.87,car,1347756.76,18
189542.35,108337.96,2393945.41,8.24,property,6341185.4,36
351365.62,246160.52,5367133.61,13.95,property,7482767.06,12
206025.61,192420.39,4073431.94,2.02,car,1366481.69,0
193930.86,180514.55,2388540.11,7.41,property,2094819.04,0
199875.11,159479.91,4528704.26,5.17,car,1623520.47,0
175275.55,74057.4,2405193.11,0.56,car,559032.87,0
135871.35,78081.98,958647.22,0.39,car,612707.57,0
244057.21,92544.21,5237973.05,12.45,car,702769.69,0
301070.92,105751.6,3956341.46,0.95,car,1218665.34,0
237762.45,163927.32,5137308.38,10.94,house,12765209.84,51
336799.72,144718.04,1119702.4,8.91,house,10507480.06,41
76613.38,60273.17,164225.35,8.75,property,3572212.45,122
108472.47,63699.19,1408392.07,13.41,house,11434822.73,95
265448.28,230826.43,4505455.54,8.01,property,2816360.6,0
265160.68,195250.67,541895.29,13.37,property,4826416.87,45
40092.27,27749.73,182239.44,6.66,car,564622.99,27
375749.09,172035.23,171103.36,11.01,car,2125319.21,10
338788.63,236383.55,688266.26,7.47,house,6924271.18,51
37093.78,32167.16,20710.13,6.12,house,1824768.69,205
220602.67,127774.52,481929.04,13.72,property,1761169.95,13
74733.02,37615.57,160757.11,4.3,house,10661215.67,194
42387.22,39279.13,184595.84,9.99,house,6764186.1,308
141615.76,84642.84,1101944.34,5.26,car,414131.86,0
111056.73,78650.68,630334.3,7.12,property,3387865.1,64
63730.92,24624.3,710967.17,5.7,house,1890236.91,27
260745.69,234212.49,116539.76,7.76,property,5563230.72,129
113600.12,77568.94,2140810.15,4.26,house,7520760.45,103
341585.58,222119.25,6418105.54,1.99,property,7889815.37,12
317168.99,213302.93,3225627.35,12.76,house,2064193.08,0
328804.61,304692.93,4898372.65,9.14,car,301194.45,0
374732.59,239570.95,5376972.75,11.75,house,14989765.23,42
340126.7,162462.36,6862539.29,3.94,car,1926202.48,0
233971.0,124094.24,2219757.19,1.72,car,1895162.32,0
399552.08,350394.22,2021895.02,7.07,house,13433076.76,127
379255.22,277274.22,8916809.11,9.91,house,4820031.85,0
393548.34,218410.62,4342878.42,8.39,car,2310840.13,0
70815.78,63971.77,1034681.05,0.06,car,1779954.09,108
177001.95,157029.21,2987649.98,10.67,property,1108615.9,0
353153.71,261602.1,4565424.22,12.5,property,3838825.78,0
66897.92,62430.71,604291.28,8.42,house,3892019.6,186
311827.02,239551.16,63099.14,6.48,car,1278070.84,17
104177.89,37698.75,702911.94,12.9,house,4085407.63,38
330186.71,239432.23,6406265.39,3.1,house,14558502.83,70
33982.5,21942.59,574207.16,8.48,car,731390.95,10
332026.92,195116.19,6932054.55,7.97,house,3801440.8,0
93632.7,74277.78,1510502.63,8.44,car,443793.38,0
68733.63,26739.42,428278.39,7.98,car,2238206.8,36
296981.57,152825.76,6041796.69,0.32,property,5583008.46,0
253493.49,192251.54,5372654.19,0.03,house,10153044.87,78
378368.21,144202.81,8524720.38,6.06,house,5199480.55,0
278465.92,175420.17,2415782.15,10.63,property,2184111.55,0
125614.55,75624.64,1353204.86,0.07,car,1036352.79,0
354437.41,295814.79,8423684.17,3.16,property,3678651.93,0
48287.34,24143.21,190617.06,4.35,property,5189710.26,152
30591.65,18635.49,17638.06,11.16,house,12846852.38,258
113918.36,72240.86,2621405.32,11.66,house,8515613.1,64
109962.59,43297.39,1583368.19,6.14,car,1675767.27,2
239995.1,96315.03,349549.67,0.47,house,13516130.44,90
283478.19,232335.25,421830.75,11.23,car,963236.36,10
257950.38,100465.01,4194672.23,7.83,house,12974045.73,42
172639.56,124366.29,1703364.16,12.1,property,5180061.17,43
192296.27,120863.1,1975755.33,8.68,car,1047156.24,0
376282.24,308460.18,4100664.56,4.59,car,537614.5,0
24669.66,19192.49,351031.42,11.77,property,1444862.2,81
213381.24,120183.73,2465317.96,8.69,car,834935.45,0
322869.72,124722.87,2415067.0,6.1,property,6157802.26,18
138251.53,121818.01,2573123.11,2.06,house,9644948.11,268
130604.3,121744.45,1622671.45,9.21,car,426098.82,0
212700.99,181030.87,4383523.41,5.91,car,2448323.7,0
263410.82,124002.42,432439.07,2.65,house,10879551.29,69
393130.84,279066.83,3124403.57,8.1,house,9817392.35,43
179104.21,80125.49,1952818.02,11.05,car,1391047.48,0
369582.37,271000.05,6148850.23,6.53,car,825841.89,0
299142.75,275675.88,2380088.18,10.36,car,1180687.65,0
333912.04,118216.63,79274.13,5.01,property,1363919.69,6
130418.96,60858.97,1833230.67,10.72,car,2445680.41,7
95666.69,49790.74,502697.94,3.67,car,1047598.48,12
230711.88,105464.14,119003.19,11.8,car,346186.27,2
277431.9,160176.32,5242890.9,1.55,car,971159.23,0
111256.97,92976.64,1764736.9,13.18,property,7112478.46,87
353787.38,137703.43,1226359.33,12.94,car,721698.84,0
163714.3,94062.57,2355714.53,13.68,car,2326229.91,0
309971.3,217722.46,6356411.14,4.12,car,1020897.33,0
40238.41,33291.94,842931.76,11.92,property,7143757.16,165
99510.28,39689.14,1124069.6,9.29,car,668353.79,0
167484.02,147294.37,3019279.74,5.24,property,3982004.58,28
142292.79,81722.62,2371769.27,10.02,house,7895735.1,55
240850.94,176510.83,4570143.59,9.1,car,782957.82,0
97140.19,84308.06,922987.16,4.28,house,9213500.22,293
375489.58,215705.4,4961436.77,1.88,car,949105.64,0
217151.87,105993.25,214422.3,7.17,house,7252381.64,54
197669.38,117686.75,3816621.49,4.44,house,1833695.65,0
187841.63,95681.82,342120.21,12.62,house,12875145.75,83
214860.58,158178.77,4052476.54,12.97,car,560893.34,0
156890.02,106311.13,1256718.57,9.45,house,5586660.37,58
329914.62,250775.89,2173196.85,9.88,car,2496491.22,4
305905.68,242856.25,6698471.86,0.12,house,5304911.15,0
151720.3,143846.83,3443984.01,11.51,property,589180.4,0
268554.59,253398.65,6132640.84,12.12,car,799237.87,0
304672.09,193364.09,3771782.09,11.0,house,11253889.74,43
195332.43,161178.35,1467688.05,2.63,property,3632658.99,55
